rank,csvPerson,savedLayerName,viewerScoreMillions,distro1,distro2,distro3,distro4,distro5,distro6,distro7,paintedZeroCells,colorsPresent,radialApplied,peakX,peakZ
120,"Patrick Bet-David","Patrick Bet-David",1.441861,0.578,0.358,0.22,0.134,0.082,0.066,0.004,76,7,true,16,14
121,"Tucker Carlson","Tucker Carlson",1.416185,0.568,0.352,0.216,0.132,0.081,0.064,0.004,222,7,true,20,13
122,"Reihan Salam","Reihan Salam",1.390509,0.557,0.345,0.212,0.129,0.079,0.063,0.004,245,7,true,14,11
123,"Alex Thompson","Alex Thompson",1.364833,0.547,0.339,0.208,0.127,0.078,0.062,0.004,240,7,true,14,13
124,"Katie Pavlich","Katie Pavlich",1.339157,0.537,0.333,0.204,0.124,0.076,0.061,0.004,136,7,true,14,13
125,"Megan McArdle","Megan McArdle",1.313482,0.526,0.326,0.2,0.122,0.075,0.06,0.004,234,7,true,17,16
126,"Amna Nawaz","Amna Nawaz",1.287806,0.516,0.32,0.196,0.12,0.073,0.059,0.004,288,7,true,9,8
127,"Kimberley A. Strassel","Kimberley Strassel",1.274026,0.51,0.316,0.194,0.118,0.072,0.058,0.004,260,7,true,10,16
128,"Whoopi Goldberg","Whoopi Goldberg",1.236454,0.495,0.307,0.189,0.115,0.07,0.056,0.004,315,7,true,4,15
129,"Emily Jashinsky","Emily Jashinsky",1.210778,0.485,0.301,0.185,0.112,0.069,0.055,0.004,227,7,true,13,11
130,"Jamelle Bouie","Jamelle Bouie",1.185102,0.475,0.294,0.181,0.11,0.067,0.054,0.004,289,7,true,4,16
131,"Jon Stewart","Jon Stewart",1.159427,0.464,0.288,0.177,0.108,0.066,0.053,0.004,352,7,true,1,10
132,"Jonah Goldberg","Jonah Goldberg",1.133751,0.454,0.281,0.173,0.105,0.064,0.052,0.004,227,7,true,16,13
133,"Michael Shellenberger","Michael Shellenberger",1.108075,0.444,0.275,0.169,0.103,0.063,0.05,0.004,204,7,false,15,10
134,"Tim Pool","Tim Pool",1.082399,0.433,0.269,0.165,0.1,0.062,0.049,0.004,208,7,true,13,10
135,"Dasha Burns","Dasha Burns",1.056723,0.423,0.262,0.161,0.098,0.06,0.048,0.004,273,7,true,8,8
136,"Brett Cooper","Brett Cooper",1.031047,0.413,0.256,0.157,0.096,0.059,0.047,0.004,398,7,true,17,4
137,"Yamiche Alcindor","Yamiche Alcindor",1.005372,0.402,0.249,0.153,0.093,0.057,0.046,0.004,332,7,true,1,10
138,"Hasan Piker","Hasan Piker",0.979696,0.392,0.243,0.149,0.091,0.056,0.045,0.004,464,7,true,1,1
139,"Brianna Keilar","Brianna Keilar",0.95402,0.382,0.237,0.145,0.089,0.054,0.043,0.004,376,7,true,3,8
140,"Rob Schmitt","Rob Schmitt",0.928344,0.372,0.23,0.141,0.086,0.053,0.042,0.004,224,7,true,19,13
141,"Theo Von","Theo Von",0.902668,0.361,0.224,0.138,0.084,0.051,0.041,0.004,208,7,true,13,8
142,"Glenn Greenwald","Glenn Greenwald",0.874392,0.35,0.217,0.133,0.081,0.05,0.04,0.004,216,6,true,14,7
143,"Erin Burnett","Erin Burnett",0.851317,0.341,0.211,0.13,0.079,0.048,0.039,0.004,323,7,true,2,7
144,"Steve Kornacki","Steve Kornacki",0.817463,0.327,0.203,0.125,0.076,0.046,0.037,0.004,207,7,true,7,12
145,"Greg Ip","Greg Ip",0.783926,0.313,0.194,0.119,0.073,0.044,0.036,0.004,301,7,true,18,18
146,"Jonathan Martin","Jonathan Martin",0.757832,0.303,0.188,0.115,0.07,0.043,0.034,0.004,233,7,true,7,10
147,"Glenn Loury","Glenn Loury",0.748613,0.299,0.186,0.114,0.069,0.042,0.034,0.004,240,7,true,7,11
148,"Sarah Longwell","Sarah Longwell",0.722937,0.289,0.179,0.11,0.067,0.041,0.033,0.004,227,7,true,14,10
149,"Krystal Ball","Krystal Ball",0.667814,0.267,0.165,0.102,0.062,0.038,0.03,0.004,230,7,true,8,8
150,"Michel Martin","Michel Martin",0.672953,0.269,0.167,0.102,0.062,0.038,0.031,0.004,282,7,true,6,14
151,"Saagar Enjeti","Saagar Enjeti",0.681427,0.272,0.169,0.104,0.063,0.039,0.031,0.004,154,7,true,13,14
152,"Geoff Bennett","Geoff Bennett",0.689116,0.275,0.171,0.105,0.064,0.039,0.031,0.004,228,7,true,10,17
153,"Nellie Bowles","Nellie Bowles",0.694802,0.278,0.172,0.106,0.064,0.039,0.032,0.004,226,7,true,14,18
154,"Glenn Beck","Glenn Beck",0.668174,0.267,0.165,0.102,0.062,0.038,0.03,0.004,434,7,false,25,10
155,"Jarod Taylor","Jarod Taylor",0.681925,0.272,0.169,0.104,0.063,0.039,0.031,0.004,376,7,true,23,16
156,"Ana Kasparian","Ana Kasparian",0.672483,0.269,0.167,0.102,0.062,0.038,0.031,0.004,431,7,false,2,6
157,"Coleman Hughes","Coleman Hughes",0.662391,0.265,0.164,0.101,0.061,0.038,0.03,0.004,195,7,true,18,13
158,"Clay Travis","Clay Travis",0.662001,0.264,0.164,0.101,0.061,0.038,0.03,0.004,221,7,true,12,13
159,"Buck Sexton","Buck Sexton",0.661885,0.264,0.164,0.101,0.061,0.038,0.03,0.004,221,7,true,12,13
160,"Michael Barbaro","Michael Barbaro",0.591913,0.236,0.146,0.09,0.055,0.034,0.027,0.004,267,7,true,8,13
161,"Andrew Huberman","Andrew Huberman",0.580719,0.232,0.144,0.088,0.054,0.033,0.026,0.004,89,7,true,16,14
162,"David Frum","David Frum",0.578077,0.231,0.143,0.088,0.053,0.033,0.026,0.004,361,7,false,1,15
163,"Eugene Daniels","Eugene Daniels",0.521174,0.208,0.129,0.079,0.048,0.03,0.024,0.004,216,7,true,8,13
164,"George Packer","George Packer",0.512914,0.205,0.127,0.078,0.047,0.029,0.023,0.004,335,7,false,1,12
165,"Shankar Vedantam","Shankar Vedantam",0.50955,0.203,0.126,0.077,0.047,0.029,0.023,0.004,253,7,true,12,19
166,"Dave Ramsey","Dave Ramsey",0.506974,0.202,0.125,0.077,0.047,0.029,0.023,0.004,308,7,true,16,13
167,"Howard Stern","Howard Stern",0.506003,0.202,0.125,0.077,0.047,0.029,0.023,0.004,420,7,true,1,10
168,"Natalie Kitroeff","Natalie Kitroeff",0.5059,0.202,0.125,0.077,0.047,0.029,0.023,0.004,165,7,true,8,12
