Rank,Person,Outlet / Platform,Primary Medium,ViewerScorey,Political Category 1,Done
81,Chris Hayes,MS NOW,Cable TV,"2,668,285",Very Liberal,1
82,Cenk Uygur,TYT,Digital Video,"2,781,019",Very Liberal,1
83,Abby Phillip,CNN,Cable TV,"2,520,634",,1
84,George F. Will,The Washington Post,Print,"2,484,696",Conservative,
85,Maria Bartiromo,FOX,Cable TV,"2,446,660",Conservative,
86,Lawrence O'Donnell,MS NOW,Cable TV,"2,342,185",,1
87,Neil Cavuto,FOX,Cable TV,"2,289,163",Conservative,
88,Erin Burnett,CNN,Cable TV,"2,263,487",Liberal,1
89,Mehdi Hasan,ZETEO,Digital Video,"2,237,811",Very Liberal,
90,Joe Scarborough,MS NOW,Cable TV,"2,212,136",Liberal,1
91,Mika Brzezinski,MS NOW,Cable TV,"2,186,460",Liberal,1
92,Kayleigh McEnany,FOX,Cable TV,"2,160,784",Very Conservative,1
93,John Berman,CNN,Cable TV,"2,135,108",Liberal,
94,Rachel Maddow,MS NOW,Cable TV,"2,109,432",Very Liberal,1
95,Sarah Isgur,The Dispatch,Podcast,"2,083,756",Conservative,1
96,Laura Ingle,NEWSNATION,Cable TV,"2,058,081",Conservative,
97,David French,NYT,Print,"2,032,405",Conservative,1
98,Benny Johnson,YOUTUBE,Podcast,"2,006,729",Very Conservative,1
99,Fareed Zakaria,CNN,Cable TV,"1,981,053",Liberal,
100,Jonathan Karl,ABC,Broadcast TV,"1,955,377",Liberal,
101,David Ignatius,The Washington Post,,"1,929,701",Liberal,
102,Nicolle Wallace,MS NOW,Cable TV,"1,262,130",Very Liberal,1
103,Victor Blackwell,CNN,Cable TV,"1,878,350",Liberal,
104,Michelle Goldberg,NYT,Print,"1,852,674",Very Liberal,1
105,Steven Crowder,RUMBLE,Podcast,"1,826,998",Very Conservative,1
106,Jen Psaki,MS NOW,Cable TV,"1,801,322",Very Liberal,1
107,Jane Pauley,CBS,Broadcast TV,"1,775,646",Conservative,1
108,Allie Beth Stuckey,BLAZE,Podcast,"1,749,971",Very Conservative,1
109,Matt Taibbi,RACKET NEWS,Print,"1,724,295",Conservative,1
110,Astead Herndon,NYT,Podcast,"1,698,619",Liberal,
111,Derek Thompson,The Atlantic,Print,"1,672,943",Very Liberal,
112,Vivek Ramaswamy,YOUTUBE,Podcast,"1,647,267",Very Conservative,1
113,Dan Bongino,RUMBLE,Podcast,"1,621,591",Very Conservative,1
114,Jason L. Riley,The Wall Street Journal,,1599071,Liberal,
115,Alyssa Farah,The View,Broadcast TV,"1,570,240",,1
116,Kate Bolduan,CNN,Cable TV,"1,544,564",Very Liberal,
117,Markie Martin,NEWSNATION,Cable TV,"1,518,888",Conservative,
118,Savannah Guthrie,NBC,Broadcast TV,"1,493,212",Liberal,
119,Joy Behar,The View,Broadcast TV,"1,236,454",Very Liberal,1
120,Patrick Bet-David,VALUETAINMENT,Podcast,"1,441,861",Conservative,1
121,Tucker Carlson,TCN,Podcast,"1,416,185",Very Conservative,1
122,Reihan Salam,FREE PRESS,Print,"1,390,509",Conservative,1
123,Alex Thompson,AXIOS,Print,"1,364,833",Conservative,1
124,Katie Pavlich,NEWSNATION,Cable TV,"1,339,157",Very Conservative,1
125,Megan McArdle,The Washington Post,,"1,313,482",Conservative,
126,Amna Nawaz,PBS,Broadcast TV,"1,287,806",Liberal,
127,Kimberley A. Strassel,The Wall Street Journal,,1904026,Liberal,
128,Whoopi Goldberg,The View,Broadcast TV,"1,236,454",Very Liberal,1
129,Emily Jashinsky,MK MEDIA,Podcast,"1,210,778",Conservative,1
130,Jamelle Bouie,NYT,Print,"1,185,102",Very Liberal,1
131,Jon Stewart,SPOTIFY,Podcast,"1,159,427",Very Liberal,1
132,Jonah Goldberg,THE DISPATCH,Podcast,"1,133,751",Conservative,1
133,Michael Shellenberger,PUBLIC,Print,"1,108,075",Liberal,
134,Tim Pool,TIMCAST,Podcast,"1,082,399",Conservative,1
135,Dasha Burns,POLITICO,Print,"1,056,723",Very Liberal,1
136,Brett Cooper,YOUTUBE,Podcast,"1,031,047",Very Conservative,1
137,Yamiche Alcindor,NBC,Broadcast TV,"1,005,372",Liberal,
138,Hasan Piker,TWITCH,Podcast,"979,696",Very Liberal,1
139,Brianna Keilar,CNN,Cable TV,"954,020",Very Liberal,
140,Rob Schmitt,Newsmax cable host,Cable TV,"928,344",Very Conservative,1
141,Theo Von,YOUTUBE,Podcast,902668,Conservative,1
142,Glenn Greenwald,INDEPENDENT,Digital Video,874392,Conservative,1
143,Pamela Brown,CNN,Cable TV,846715,Liberal,
144,Steve Kornacki,MS NOW,Cable TV,817463,Liberal,
145,Greg Ip,The Wall Street Journal,Print,783926,Liberal,
146,Jonathan Martin,POLITICO,Print,757832,Very Liberal,
147,Glenn Loury,THE GLENN SHOW,Podcast,748613,Liberal,
148,Sarah Longwell,THE BULWARK,Podcast,722937,Conservative,1
149,Geoff Bennett,PBS,Broadcast TV,697262,,
150,Michel Martin,NPR,Radio,851317,Liberal,
150,Eugene Daniels,POLITICO,Print,671586,Very Liberal,
151,Shankar Vedantam,NPR,Podcast,825641,Liberal,
152,Nellie Bowles,THE FREE PRESS,Print,799965,Conservative,
153,Glenn Beck,BLAZE,Radio,763428,Very Conservative,1
154,George Packer,The Atlantic,Print,728174,Very Liberal,
155,Natalie Kitroeff,NYT,Podcast,694853,Liberal,
156,Coleman Hughes,THE FREE PRESS,Podcast,662391,Conservative,
157,David Frum,The Atlantic,Print,634726,Very Liberal,
158,Michael Barbaro,NYT,Podcast,607418,Liberal,
159,Andrew Huberman,YOUTUBE,Podcast,"580,719",Conservative,
