Rank,in App,Person,Outlet / Platform,Primary Medium,ViewerScorey,Political Category 1,Previous in App,Match Status,Matched App Name,Possible Issue
63,1,Dana Bash,CNN,Cable TV,"3,964,074",,1,Exact app match,Dana Bash,
64,,Anna Kooiman,NEWSNATION,Cable TV,"3,835,319",Conservative,,Not in app,,
65,1,Mary Louise Kelly,NPR,Radio,"3,778,518",Liberal,1,Exact app match,Mary Louise Kelly,
66,1,Nate Silver,SUBSTACK,Podcast,"3,750,579",Liberal,1,Exact app match,Nate Silver,
67,,Ben Meiselas,MEIDASTOUCH,Podcast,"3,668,530",Very Liberal,1,Not in app,,"Previously marked done, but no matching app layer"
68,,Douglas Murray,Author,Print,"3,517,500",Conservative,,Not in app,,
69,,Andrew Huberman,YOUTUBE,Podcast,"3,455,710",Conservative,,Not in app,,
70,,Nick Smith,NEWSNATION,Cable TV,"3,404,887",Conservative,,Not in app,,
71,1,Kristen Welker,NBC,Broadcast TV,"3,322,237",Liberal,1,Exact app match,Kristen Welker,
72,1,Deborah Roberts,ABC,Broadcast TV,"3,271,466",,1,Exact app match,Deborah Roberts,
73,1,Bill O'Reilly,NEWSNATION,Cable TV,"3,186,283",Very Conservative,1,Exact app match,Bill O'Reilly,
74,,Hena Doba,NEWSNATION,Cable TV,"3,129,862",Conservative,,Not in app,,
75,1,John King,CNN,Cable TV,"2,980,582",Liberal,1,Exact app match,John King,
76,,Greg Gutfeld,FOX,Cable TV,"2,939,691",Very Conservative,,Not in app,,
77,,Harold Ford Jr.,FOX,Cable TV,"2,834,305",Liberal,,Not in app,,
78,,Sam Harris,YOUTUBE,Podcast,"2,642,358",Liberal,1,Not in app,,"Previously marked done, but no matching app layer"
79,1,Chris Wallace,CNN,Cable TV,"2,731,011",,1,Exact app match,Chris Wallace,
80,1,Ana Kasparian,TYT,Digital Video,"2,722,389",Very Liberal,1,Exact app match,Ana Kasparian,
81,1,Chris Hayes,MS NOW,Cable TV,"2,668,285",Very Liberal,1,Exact app match,Chris Hayes,
82,1,Cenk Uygur,TYT,Digital Video,"2,781,019",Very Liberal,1,Exact app match,Cenk Uygur,
